         5037417 function calls (4998212 primitive calls) in 8.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.334    8.334 {built-in method builtins.exec}
        1    0.000    0.000    8.334    8.334 <string>:1(<module>)
        1    0.000    0.000    8.334    8.334 myUtils.py:62(compute_explanations)
        1    0.010    0.010    8.239    8.239 myUtils.py:39(get_exp)
        1    0.002    0.002    8.229    8.229 anchor_text.py:190(explain_instance)
        1    0.001    0.001    8.115    8.115 anchor_base.py:275(anchor_beam)
      154    0.030    0.000    7.730    0.050 anchor_text.py:153(sample_fn)
      148    0.000    0.000    7.696    0.052 anchor_base.py:228(<lambda>)
      148    0.009    0.000    7.695    0.052 anchor_base.py:175(complete_sample_fn)
     1468    0.035    0.000    6.948    0.005 anchor_text.py:89(sample)
     1481    0.005    0.000    4.999    0.003 anchor_text.py:105(probs)
      366    0.098    0.000    4.957    0.014 anchor_text.py:39(unmask)
33498/520    0.100    0.000    2.319    0.004 module.py:1096(_call_impl)
    16764    1.944    0.000    2.068    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      366    0.010    0.000    2.036    0.006 modeling_distilbert.py:605(forward)
     1468    0.019    0.000    1.988    0.001 anchor_text.py:96(<listcomp>)
      366    0.005    0.000    1.954    0.005 modeling_distilbert.py:509(forward)
      366    0.014    0.000    1.866    0.005 modeling_distilbert.py:302(forward)
     2196    0.115    0.000    1.827    0.001 modeling_distilbert.py:260(forward)
     3355    0.808    0.000    1.761    0.001 anchor_text.py:62(<listcomp>)
     2196    0.193    0.000    1.059    0.000 modeling_distilbert.py:171(forward)
     6864    0.759    0.000    0.759    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
      154    0.003    0.000    0.634    0.004 3768568908.py:1(predict_sentences)
  1737092    0.598    0.000    0.598    0.000 {method 'get' of 'dict' objects}
    14062    0.031    0.000    0.582    0.000 linear.py:102(forward)
    14062    0.018    0.000    0.541    0.000 functional.py:1832(linear)
    14062    0.518    0.000    0.518    0.000 {built-in method torch._C._nn.linear}
     2196    0.004    0.000    0.438    0.000 modeling_distilbert.py:237(forward)
     2196    0.009    0.000    0.434    0.000 modeling_utils.py:2299(apply_chunking_to_forward)
  1684968    0.368    0.000    0.368    0.000 tokenization_utils_base.py:976(unk_token)
      154    0.001    0.000    0.325    0.002 3768568908.py:6(<listcomp>)
     1468    0.008    0.000    0.324    0.000 2852908370.py:2(tokenize)
      301    0.321    0.001    0.321    0.001 {method 'astype' of 'numpy.ndarray' objects}
     1468    0.006    0.000    0.306    0.000 utils.py:13(_spacy_tokenize)
     2196    0.032    0.000    0.305    0.000 modeling_distilbert.py:240(ff_chunk)
      154    0.005    0.000    0.278    0.002 models.py:52(forward)
     1469    0.014    0.000    0.255    0.000 tokenizer.pyx:136(__call__)
      154    0.002    0.000    0.246    0.002 rnn.py:824(forward)
      154    0.238    0.002    0.238    0.002 {built-in method gru}
     2458    0.003    0.000    0.193    0.000 tokenizer.pyx:233(_tokenize)
     5124    0.016    0.000    0.192    0.000 normalization.py:188(forward)
        1    0.000    0.000    0.179    0.179 anchor_base.py:64(lucb)
     5124    0.016    0.000    0.172    0.000 functional.py:2332(layer_norm)
      366    0.002    0.000    0.162    0.000 tokenization_utils_base.py:2143(encode)
      366    0.003    0.000    0.160    0.000 tokenization_utils_base.py:2459(encode_plus)
     2458    0.013    0.000    0.156    0.000 tokenizer.pyx:297(_attach_tokens)
      366    0.002    0.000    0.155    0.000 tokenization_utils.py:586(_encode_plus)
     5124    0.149    0.000    0.149    0.000 {built-in method layer_norm}
     4392    0.138    0.000    0.138    0.000 {built-in method matmul}
     3205    0.004    0.000    0.128    0.000 vocab.pyx:134(get)
     2449    0.039    0.000    0.124    0.000 vocab.pyx:168(_new_lexeme)
      366    0.001    0.000    0.120    0.000 tokenization_utils.py:607(get_input_ids)
     2196    0.003    0.000    0.118    0.000 inspect.py:3091(signature)
     2196    0.003    0.000    0.115    0.000 inspect.py:2839(from_callable)
4392/2196    0.019    0.000    0.112    0.000 inspect.py:2206(_signature_from_callable)
        1    0.000    0.000    0.111    0.111 anchor_text.py:144(get_sample_fn)
      366    0.010    0.000    0.107    0.000 tokenization_utils.py:474(tokenize)
        1    0.001    0.001    0.099    0.099 anchor_text.py:75(__init__)
       13    0.000    0.000    0.093    0.007 myUtils.py:42(get_fit_examples)
       13    0.041    0.003    0.088    0.007 myUtils.py:44(<listcomp>)
     3355    0.086    0.000    0.086    0.000 {built-in method topk}
     2196    0.082    0.000    0.082    0.000 {method 'masked_fill' of 'torch._C._TensorBase' objects}
     2196    0.009    0.000    0.076    0.000 modeling_distilbert.py:196(unshape)
     6588    0.015    0.000    0.075    0.000 modeling_distilbert.py:192(shape)
      366    0.017    0.000    0.065    0.000 modeling_distilbert.py:111(forward)
     2196    0.024    0.000    0.058    0.000 inspect.py:2112(_signature_from_function)
      965    0.004    0.000    0.058    0.000 tokenization_bert.py:220(_tokenize)
3471/3407    0.035    0.000    0.057    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    14875    0.020    0.000    0.054    0.000 numerictypes.py:359(issubdtype)
    71138    0.051    0.000    0.051    0.000 module.py:1164(__getattr__)
    10980    0.050    0.000    0.050    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
    10980    0.050    0.000    0.050    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    93933    0.024    0.000    0.048    0.000 {built-in method builtins.all}
     2196    0.047    0.000    0.047    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
     4912    0.006    0.000    0.047    0.000 dropout.py:57(forward)
     1468    0.033    0.000    0.045    0.000 utils.py:14(<listcomp>)
    31604    0.035    0.000    0.042    0.000 getlimits.py:382(__new__)
     4912    0.022    0.000    0.041    0.000 functional.py:1152(dropout)
     2562    0.004    0.000    0.040    0.000 functional.py:1544(gelu)
      366    0.008    0.000    0.037    0.000 anchor_text.py:108(<listcomp>)
      886    0.037    0.000    0.037    0.000 {built-in method tensor}
     2196    0.003    0.000    0.036    0.000 functional.py:1650(softmax)
     2562    0.036    0.000    0.036    0.000 {built-in method torch._C._nn.gelu}
    11845    0.034    0.000    0.034    0.000 {method 'join' of 'str' objects}
     2458    0.007    0.000    0.033    0.000 tokenizer.pyx:245(_split_affixes)
      965    0.005    0.000    0.033    0.000 tokenization_bert.py:378(tokenize)
     1469    0.009    0.000    0.033    0.000 doc.pyx:175(__init__)
      366    0.004    0.000    0.032    0.000 tokenization_utils_base.py:2857(prepare_for_model)
